"תחנה","תאריך ושעה (שעון קיץ)","לחות יחסית (%)","כיוון הרוח (מעלות)","מהירות רוח (מטר לשניה)"
"ירושלים, מרכז","01/01/2022 09:20","90","80","2.2"
"ירושלים, מרכז","01/01/2022 09:30","90","89","1.9"
"ירושלים, מרכז","01/01/2022 09:40","90","85","3"
"ירושלים, מרכז","01/01/2022 09:50","89","81","3"
"ירושלים, מרכז","01/01/2022 10:00","89","87","2.5"
"ירושלים, מרכז","01/01/2022 10:10","89","83","3.1"
"ירושלים, מרכז","01/01/2022 10:20","89","88","3.5"
"ירושלים, מרכז","01/01/2022 10:30","89","87","3"
"ירושלים, מרכז","01/01/2022 10:40","87","85","2.9"
"ירושלים, מרכז","01/01/2022 10:50","87","81","3"
"ירושלים, מרכז","01/01/2022 11:00","86","87","2.7"
"ירושלים, מרכז","01/01/2022 11:10","85","88","2.3"
"ירושלים, מרכז","01/01/2022 11:20","85","83","2.7"
"ירושלים, מרכז","01/01/2022 11:30","85","75","2.4"
"ירושלים, מרכז","01/01/2022 11:40","84","71","2.6"
"ירושלים, מרכז","01/01/2022 11:50","84","73","2.6"
"ירושלים, מרכז","01/01/2022 12:00","84","82","2.3"
"ירושלים, מרכז","01/01/2022 12:10","83","88","3.1"
"ירושלים, מרכז","01/01/2022 12:20","83","101","2.6"
"ירושלים, מרכז","01/01/2022 12:30","82","93","2.9"
"ירושלים, מרכז","01/01/2022 12:40","82","107","2.5"
"ירושלים, מרכז","01/01/2022 12:50","81","112","2.7"
"ירושלים, מרכז","01/01/2022 13:00","81","108","2.5"
"ירושלים, מרכז","01/01/2022 13:10","79","106","2.9"
"ירושלים, מרכז","01/01/2022 13:20","79","111","2.7"
"ירושלים, מרכז","01/01/2022 13:30","80","110","3.2"
"ירושלים, מרכז","01/01/2022 13:40","80","119","3.1"
"ירושלים, מרכז","01/01/2022 13:50","79","128","3.2"
"ירושלים, מרכז","01/01/2022 14:00","79","106","2.3"
"ירושלים, מרכז","01/01/2022 14:10","79","117","2.8"
"ירושלים, מרכז","01/01/2022 14:20","79","127","2.7"
"ירושלים, מרכז","01/01/2022 14:30","79","114","3.1"
"ירושלים, מרכז","01/01/2022 14:40","80","115","2.7"
"ירושלים, מרכז","01/01/2022 14:50","81","116","1.8"
"ירושלים, מרכז","01/01/2022 15:00","82","124","2.4"
"ירושלים, מרכז","01/01/2022 15:10","84","129","1.6"
"ירושלים, מרכז","01/01/2022 15:20","84","130","1.2"
"ירושלים, מרכז","01/01/2022 15:30","84","139","1.1"
"ירושלים, מרכז","01/01/2022 15:40","84","169","1.2"
"ירושלים, מרכז","01/01/2022 15:50","85","118","0.8"
"ירושלים, מרכז","01/01/2022 16:00","85","99","1.1"
"ירושלים, מרכז","01/01/2022 16:10","85","94","1.2"
"ירושלים, מרכז","01/01/2022 16:20","85","92","1.2"
"ירושלים, מרכז","01/01/2022 16:30","86","84","1.4"
"ירושלים, מרכז","01/01/2022 16:40","86","77","2"
"ירושלים, מרכז","01/01/2022 16:50","86","75","2.1"
"ירושלים, מרכז","01/01/2022 17:00","87","66","2.6"
"ירושלים, מרכז","01/01/2022 17:10","88","60","2.1"
"ירושלים, מרכז","01/01/2022 17:20","87","68","1.6"
"ירושלים, מרכז","01/01/2022 17:30","87","70","1.7"
"ירושלים, מרכז","01/01/2022 17:40","86","85","1.9"
"ירושלים, מרכז","01/01/2022 17:50","86","74","2.2"
"ירושלים, מרכז","01/01/2022 18:00","87","70","1.7"
"ירושלים, מרכז","01/01/2022 18:10","87","79","2.1"
"ירושלים, מרכז","01/01/2022 18:20","87","81","1.6"
"ירושלים, מרכז","01/01/2022 18:30","87","89","1.7"
"ירושלים, מרכז","01/01/2022 18:40","87","103","1.7"
"ירושלים, מרכז","01/01/2022 18:50","88","92","2.2"
"ירושלים, מרכז","01/01/2022 19:00","88","91","2.8"
"ירושלים, מרכז","01/01/2022 19:10","88","92","2.8"
"ירושלים, מרכז","01/01/2022 19:20","88","92","2.4"
"ירושלים, מרכז","01/01/2022 19:30","88","91","2.7"
"ירושלים, מרכז","01/01/2022 19:40","88","91","2.5"
"ירושלים, מרכז","01/01/2022 19:50","87","80","1.6"
"ירושלים, מרכז","01/01/2022 20:00","87","78","2.1"
"ירושלים, מרכז","01/01/2022 20:10","86","78","2.3"
"ירושלים, מרכז","01/01/2022 20:20","86","77","1.9"
"ירושלים, מרכז","01/01/2022 20:30","86","73","2.1"
"ירושלים, מרכז","01/01/2022 20:40","85","90","2.5"
"ירושלים, מרכז","01/01/2022 20:50","84","96","2.2"
"ירושלים, מרכז","01/01/2022 21:00","83","95","2.3"
"ירושלים, מרכז","01/01/2022 21:10","83","76","2.1"
"ירושלים, מרכז","01/01/2022 21:20","83","72","1.9"
"ירושלים, מרכז","01/01/2022 21:30","83","93","1.3"
"ירושלים, מרכז","01/01/2022 21:40","83","89","1.8"
"ירושלים, מרכז","01/01/2022 21:50","83","80","1.5"
"ירושלים, מרכז","01/01/2022 22:00","83","73","1.8"
"ירושלים, מרכז","01/01/2022 22:10","83","77","1.4"
"ירושלים, מרכז","01/01/2022 22:20","83","76","1.5"
"ירושלים, מרכז","01/01/2022 22:30","84","75","1.7"
"ירושלים, מרכז","01/01/2022 22:40","84","74","1.7"
"ירושלים, מרכז","01/01/2022 22:50","84","71","2.6"
"ירושלים, מרכז","01/01/2022 23:00","86","71","2.3"
"ירושלים, מרכז","01/01/2022 23:10","87","70","1.7"
"ירושלים, מרכז","01/01/2022 23:20","87","56","1.8"
"ירושלים, מרכז","01/01/2022 23:30","88","54","1.7"
"ירושלים, מרכז","01/01/2022 23:40","88","60","1.5"
"ירושלים, מרכז","01/01/2022 23:50","88","59","1.8"
"ירושלים, מרכז","02/01/2022 00:00","88","59","1.8"
"ירושלים, מרכז","02/01/2022 00:10","88","65","2"
"ירושלים, מרכז","02/01/2022 00:20","88","66","2.3"
"ירושלים, מרכז","02/01/2022 00:30","87","71","2"
"ירושלים, מרכז","02/01/2022 00:40","87","71","1.9"
"ירושלים, מרכז","02/01/2022 00:50","87","86","2"
"ירושלים, מרכז","02/01/2022 01:00","87","76","1.9"
"ירושלים, מרכז","02/01/2022 01:10","87","66","1.6"
"ירושלים, מרכז","02/01/2022 01:20","88","71","1.7"
"ירושלים, מרכז","02/01/2022 01:30","88","78","1.5"
"ירושלים, מרכז","02/01/2022 01:40","88","71","1.8"
"ירושלים, מרכז","02/01/2022 01:50","88","69","1.9"
"ירושלים, מרכז","02/01/2022 02:00","88","79","1.8"
"ירושלים, מרכז","02/01/2022 02:10","88","76","2.1"
"ירושלים, מרכז","02/01/2022 02:20","88","73","1.9"
"ירושלים, מרכז","02/01/2022 02:30","88","66","1.6"
"ירושלים, מרכז","02/01/2022 02:40","88","71","1.4"
"ירושלים, מרכז","02/01/2022 02:50","88","70","1.4"
"ירושלים, מרכז","02/01/2022 03:00","88","84","1.4"
"ירושלים, מרכז","02/01/2022 03:10","87","97","1.9"
"ירושלים, מרכז","02/01/2022 03:20","87","95","1.7"
"ירושלים, מרכז","02/01/2022 03:30","87","83","1.4"
"ירושלים, מרכז","02/01/2022 03:40","88","81","1.8"
"ירושלים, מרכז","02/01/2022 03:50","88","89","1.9"
"ירושלים, מרכז","02/01/2022 04:00","87","95","2.4"
"ירושלים, מרכז","02/01/2022 04:10","87","98","1.9"
"ירושלים, מרכז","02/01/2022 04:20","87","88","2"
"ירושלים, מרכז","02/01/2022 04:30","87","89","2.4"
"ירושלים, מרכז","02/01/2022 04:40","88","77","1.9"
"ירושלים, מרכז","02/01/2022 04:50","89","76","1.8"
"ירושלים, מרכז","02/01/2022 05:00","89","88","1.8"
"ירושלים, מרכז","02/01/2022 05:10","90","70","1.7"
"ירושלים, מרכז","02/01/2022 05:20","90","49","1.8"
"ירושלים, מרכז","02/01/2022 05:30","90","51","2.1"
"ירושלים, מרכז","02/01/2022 05:40","90","54","1.8"
"ירושלים, מרכז","02/01/2022 05:50","91","60","2"
"ירושלים, מרכז","02/01/2022 06:00","91","64","2.1"
"ירושלים, מרכז","02/01/2022 06:10","91","64","2.2"
"ירושלים, מרכז","02/01/2022 06:20","90","63","2.2"
"ירושלים, מרכז","02/01/2022 06:30","90","66","2.5"
"ירושלים, מרכז","02/01/2022 06:40","90","70","2.1"
"ירושלים, מרכז","02/01/2022 06:50","90","69","1.6"
"ירושלים, מרכז","02/01/2022 07:00","89","86","1.4"
"ירושלים, מרכז","02/01/2022 07:10","89","93","2"
"ירושלים, מרכז","02/01/2022 07:20","88","103","1.3"
"ירושלים, מרכז","02/01/2022 07:30","88","106","1.1"
"ירושלים, מרכז","02/01/2022 07:40","88","102","1.4"
"ירושלים, מרכז","02/01/2022 07:50","88","93","2.2"
"ירושלים, מרכז","02/01/2022 08:00","88","97","2.5"
"ירושלים, מרכז","02/01/2022 08:10","89","70","1.6"
"ירושלים, מרכז","02/01/2022 08:20","89","51","1.1"
"ירושלים, מרכז","02/01/2022 08:30","89","59","1.2"
"ירושלים, מרכז","02/01/2022 08:40","88","62","2.1"
"ירושלים, מרכז","02/01/2022 08:50","88","62","1.6"
"ירושלים, מרכז","02/01/2022 09:00","87","79","1.3"
"ירושלים, מרכז","02/01/2022 09:10","87","67","0.9"
"ירושלים, מרכז","02/01/2022 09:20","87","66","1.6"
"ירושלים, מרכז","02/01/2022 09:30","87","90","0.9"
"ירושלים, מרכז","02/01/2022 09:40","87","94","1.2"
"ירושלים, מרכז","02/01/2022 09:50","87","93","1.4"
"ירושלים, מרכז","02/01/2022 10:00","86","94","2"
"ירושלים, מרכז","02/01/2022 10:10","84","95","2.3"
"ירושלים, מרכז","02/01/2022 10:20","83","89","2.6"
"ירושלים, מרכז","02/01/2022 10:30","83","99","2"
"ירושלים, מרכז","02/01/2022 10:40","83","97","1.7"
"ירושלים, מרכז","02/01/2022 10:50","84","102","1.8"
"ירושלים, מרכז","02/01/2022 11:00","84","108","1.6"
"ירושלים, מרכז","02/01/2022 11:10","84","98","1"
"ירושלים, מרכז","02/01/2022 11:20","82","80","0.7"
"ירושלים, מרכז","02/01/2022 11:30","81","113","0.8"
"ירושלים, מרכז","02/01/2022 11:40","78","160","0.8"
"ירושלים, מרכז","02/01/2022 11:50","75","117","0.9"
"ירושלים, מרכז","02/01/2022 12:00","74","70","0.5"
"ירושלים, מרכז","02/01/2022 12:10","71","76","0.7"
"ירושלים, מרכז","02/01/2022 12:20","70","231","0.5"
"ירושלים, מרכז","02/01/2022 12:30","68","246","0.9"
"ירושלים, מרכז","02/01/2022 12:40","66","233","1.3"
"ירושלים, מרכז","02/01/2022 12:50","65","281","0.7"
"ירושלים, מרכז","02/01/2022 13:00","65","349","1.6"
"ירושלים, מרכז","02/01/2022 13:10","63","338","1.6"
"ירושלים, מרכז","02/01/2022 13:20","63","331","1.7"
"ירושלים, מרכז","02/01/2022 13:30","60","323","1.1"
"ירושלים, מרכז","02/01/2022 13:40","61","336","0.7"
"ירושלים, מרכז","02/01/2022 13:50","62","299","2.5"
"ירושלים, מרכז","02/01/2022 14:00","67","284","2.3"
"ירושלים, מרכז","02/01/2022 14:10","68","275","2.6"
"ירושלים, מרכז","02/01/2022 14:20","64","268","2.3"
"ירושלים, מרכז","02/01/2022 14:30","61","279","2.5"
"ירושלים, מרכז","02/01/2022 14:40","62","299","2.3"
"ירושלים, מרכז","02/01/2022 14:50","63","328","2.8"
"ירושלים, מרכז","02/01/2022 15:00","67","318","2.9"
"ירושלים, מרכז","02/01/2022 15:10","71","320","2.9"
"ירושלים, מרכז","02/01/2022 15:20","73","322","2.7"
"ירושלים, מרכז","02/01/2022 15:30","73","293","2.9"
"ירושלים, מרכז","02/01/2022 15:40","72","291","3.8"
"ירושלים, מרכז","02/01/2022 15:50","70","294","3.1"
"ירושלים, מרכז","02/01/2022 16:00","70","307","2"
"ירושלים, מרכז","02/01/2022 16:10","71","290","3.5"
"ירושלים, מרכז","02/01/2022 16:20","71","316","3.1"
"ירושלים, מרכז","02/01/2022 16:30","71","316","3.9"
"ירושלים, מרכז","02/01/2022 16:40","72","319","3.3"
"ירושלים, מרכז","02/01/2022 16:50","74","315","3.3"
"ירושלים, מרכז","02/01/2022 17:00","77","319","2.8"
"ירושלים, מרכז","02/01/2022 17:10","79","318","3.8"
"ירושלים, מרכז","02/01/2022 17:20","79","320","4.3"
"ירושלים, מרכז","02/01/2022 17:30","80","317","4"
"ירושלים, מרכז","02/01/2022 17:40","80","317","4.4"
"ירושלים, מרכז","02/01/2022 17:50","81","315","3.7"
"ירושלים, מרכז","02/01/2022 18:00","82","309","3.1"
"ירושלים, מרכז","02/01/2022 18:10","82","293","3.9"
"ירושלים, מרכז","02/01/2022 18:20","83","298","2.9"
"ירושלים, מרכז","02/01/2022 18:30","84","297","3.4"
"ירושלים, מרכז","02/01/2022 18:40","85","292","3.1"
"ירושלים, מרכז","02/01/2022 18:50","85","296","2.5"
"ירושלים, מרכז","02/01/2022 19:00","86","289","3.5"
"ירושלים, מרכז","02/01/2022 19:10","87","290","4.1"
"ירושלים, מרכז","02/01/2022 19:20","87","292","3.5"
"ירושלים, מרכז","02/01/2022 19:30","87","302","2"
"ירושלים, מרכז","02/01/2022 19:40","88","312","3.4"
"ירושלים, מרכז","02/01/2022 19:50","88","315","3.5"
"ירושלים, מרכז","02/01/2022 20:00","89","313","3.6"
"ירושלים, מרכז","02/01/2022 20:10","89","313","2.9"
"ירושלים, מרכז","02/01/2022 20:20","89","307","2.6"
"ירושלים, מרכז","02/01/2022 20:30","89","314","3.4"
"ירושלים, מרכז","02/01/2022 20:40","89","304","3.2"
"ירושלים, מרכז","02/01/2022 20:50","89","293","3.1"
"ירושלים, מרכז","02/01/2022 21:00","89","302","2.2"
"ירושלים, מרכז","02/01/2022 21:10","90","292","3.1"
"ירושלים, מרכז","02/01/2022 21:20","90","290","3.1"
"ירושלים, מרכז","02/01/2022 21:30","90","278","2.3"
"ירושלים, מרכז","02/01/2022 21:40","90","263","2"
"ירושלים, מרכז","02/01/2022 21:50","91","270","2.2"
"ירושלים, מרכז","02/01/2022 22:00","92","280","2.6"
"ירושלים, מרכז","02/01/2022 22:10","92","282","3.2"
"ירושלים, מרכז","02/01/2022 22:20","90","312","3.1"
"ירושלים, מרכז","02/01/2022 22:30","88","300","3.1"
"ירושלים, מרכז","02/01/2022 22:40","89","290","2.8"
"ירושלים, מרכז","02/01/2022 22:50","90","274","2.8"
"ירושלים, מרכז","02/01/2022 23:00","91","260","2.4"
"ירושלים, מרכז","02/01/2022 23:10","92","260","2.4"
"ירושלים, מרכז","02/01/2022 23:20","92","271","2.4"
"ירושלים, מרכז","02/01/2022 23:30","92","279","2.5"
"ירושלים, מרכז","02/01/2022 23:40","93","275","2.5"
"ירושלים, מרכז","02/01/2022 23:50","93","285","2.7"
"ירושלים, מרכז","03/01/2022 00:00","92","306","2.4"
"ירושלים, מרכז","03/01/2022 00:10","92","317","3.1"
"ירושלים, מרכז","03/01/2022 00:20","92","323","2.2"
"ירושלים, מרכז","03/01/2022 00:30","91","311","2.1"
"ירושלים, מרכז","03/01/2022 00:40","91","298","2"
"ירושלים, מרכז","03/01/2022 00:50","91","286","2.2"
"ירושלים, מרכז","03/01/2022 01:00","90","292","1.6"
"ירושלים, מרכז","03/01/2022 01:10","90","310","1.7"
"ירושלים, מרכז","03/01/2022 01:20","90","311","2.2"
"ירושלים, מרכז","03/01/2022 01:30","91","304","2.1"
"ירושלים, מרכז","03/01/2022 01:40","91","289","2.1"
"ירושלים, מרכז","03/01/2022 01:50","91","284","2.8"
"ירושלים, מרכז","03/01/2022 02:00","91","271","2.5"
"ירושלים, מרכז","03/01/2022 02:10","92","278","3.2"
"ירושלים, מרכז","03/01/2022 02:20","92","281","3.1"
"ירושלים, מרכז","03/01/2022 02:30","93","287","2.5"
"ירושלים, מרכז","03/01/2022 02:40","94","294","2.4"
"ירושלים, מרכז","03/01/2022 02:50","94","286","2.4"
"ירושלים, מרכז","03/01/2022 03:00","93","254","1.4"
"ירושלים, מרכז","03/01/2022 03:10","93","259","1.2"
"ירושלים, מרכז","03/01/2022 03:20","92","289","1.1"
"ירושלים, מרכז","03/01/2022 03:30","91","285","1.4"
"ירושלים, מרכז","03/01/2022 03:40","90","273","1.3"
"ירושלים, מרכז","03/01/2022 03:50","89","281","1.6"
"ירושלים, מרכז","03/01/2022 04:00","90","295","1.9"
"ירושלים, מרכז","03/01/2022 04:10","91","318","1.9"
"ירושלים, מרכז","03/01/2022 04:20","91","316","2.7"
"ירושלים, מרכז","03/01/2022 04:30","92","293","3"
"ירושלים, מרכז","03/01/2022 04:40","92","295","3.1"
"ירושלים, מרכז","03/01/2022 04:50","92","310","2.3"
"ירושלים, מרכז","03/01/2022 05:00","91","295","1.9"
"ירושלים, מרכז","03/01/2022 05:10","91","295","2.5"
"ירושלים, מרכז","03/01/2022 05:20","91","284","2"
"ירושלים, מרכז","03/01/2022 05:30","92","279","2.6"
"ירושלים, מרכז","03/01/2022 05:40","92","283","2"
"ירושלים, מרכז","03/01/2022 05:50","93","277","2"
"ירושלים, מרכז","03/01/2022 06:00","93","283","2.1"
"ירושלים, מרכז","03/01/2022 06:10","93","285","1.8"
"ירושלים, מרכז","03/01/2022 06:20","93","271","1.3"
"ירושלים, מרכז","03/01/2022 06:30","93","274","1.9"
"ירושלים, מרכז","03/01/2022 06:40","93","280","1.4"
"ירושלים, מרכז","03/01/2022 06:50","93","280","1.7"
"ירושלים, מרכז","03/01/2022 07:00","93","292","1.4"
"ירושלים, מרכז","03/01/2022 07:10","93","290","1.6"
"ירושלים, מרכז","03/01/2022 07:20","92","305","1.3"
"ירושלים, מרכז","03/01/2022 07:30","92","294","1.5"
"ירושלים, מרכז","03/01/2022 07:40","91","272","1.5"
"ירושלים, מרכז","03/01/2022 07:50","92","265","1.9"
"ירושלים, מרכז","03/01/2022 08:00","93","274","1.9"
"ירושלים, מרכז","03/01/2022 08:10","93","276","1.7"
"ירושלים, מרכז","03/01/2022 08:20","93","272","1.9"
"ירושלים, מרכז","03/01/2022 08:30","92","263","1.9"
"ירושלים, מרכז","03/01/2022 08:40","92","263","2.2"
"ירושלים, מרכז","03/01/2022 08:50","91","267","2"
"ירושלים, מרכז","03/01/2022 09:00","90","269","2.1"
"ירושלים, מרכז","03/01/2022 09:10","90","283","2.1"
"ירושלים, מרכז","03/01/2022 09:20","89","280","1.8"
"ירושלים, מרכז","03/01/2022 09:30","87","278","2.7"
"ירושלים, מרכז","03/01/2022 09:40","87","265","2.1"
"ירושלים, מרכז","03/01/2022 09:50","86","271","2.4"
"ירושלים, מרכז","03/01/2022 10:00","85","277","2.4"
"ירושלים, מרכז","03/01/2022 10:10","85","262","1.8"
"ירושלים, מרכז","03/01/2022 10:20","84","265","2.1"
"ירושלים, מרכז","03/01/2022 10:30","84","274","2.5"
"ירושלים, מרכז","03/01/2022 10:40","85","259","2.2"
"ירושלים, מרכז","03/01/2022 10:50","84","257","2.2"
"ירושלים, מרכז","03/01/2022 11:00","85","272","3"
"ירושלים, מרכז","03/01/2022 11:10","83","254","1.6"
"ירושלים, מרכז","03/01/2022 11:20","81","255","2.3"
"ירושלים, מרכז","03/01/2022 11:30","81","276","3.1"
"ירושלים, מרכז","03/01/2022 11:40","81","262","2.4"
"ירושלים, מרכז","03/01/2022 11:50","80","270","2.5"
"ירושלים, מרכז","03/01/2022 12:00","78","286","2.3"
"ירושלים, מרכז","03/01/2022 12:10","75","305","2.4"
"ירושלים, מרכז","03/01/2022 12:20","74","280","2.4"
"ירושלים, מרכז","03/01/2022 12:30","75","273","3.1"
"ירושלים, מרכז","03/01/2022 12:40","74","292","3.5"
"ירושלים, מרכז","03/01/2022 12:50","74","291","2.8"
"ירושלים, מרכז","03/01/2022 13:00","73","274","2.7"
"ירושלים, מרכז","03/01/2022 13:10","72","280","3.3"
"ירושלים, מרכז","03/01/2022 13:20","72","282","3.2"
"ירושלים, מרכז","03/01/2022 13:30","72","260","2.4"
"ירושלים, מרכז","03/01/2022 13:40","73","275","3.3"
"ירושלים, מרכז","03/01/2022 13:50","73","262","3.1"
"ירושלים, מרכז","03/01/2022 14:00","72","252","3"
"ירושלים, מרכז","03/01/2022 14:10","71","252","2.6"
"ירושלים, מרכז","03/01/2022 14:20","73","263","2.8"
"ירושלים, מרכז","03/01/2022 14:30","74","282","3"
"ירושלים, מרכז","03/01/2022 14:40","73","280","2.6"
"ירושלים, מרכז","03/01/2022 14:50","74","274","2.9"
"ירושלים, מרכז","03/01/2022 15:00","70","266","2.7"
"ירושלים, מרכז","03/01/2022 15:10","67","290","2.8"
"ירושלים, מרכז","03/01/2022 15:20","70","255","2.1"
"ירושלים, מרכז","03/01/2022 15:30","71","283","3"
"ירושלים, מרכז","03/01/2022 15:40","72","277","3.3"
"ירושלים, מרכז","03/01/2022 15:50","69","280","2.9"
"ירושלים, מרכז","03/01/2022 16:00","69","287","2.8"
"ירושלים, מרכז","03/01/2022 16:10","68","282","3.3"
"ירושלים, מרכז","03/01/2022 16:20","68","281","3.3"
"ירושלים, מרכז","03/01/2022 16:30","69","286","3.2"
"ירושלים, מרכז","03/01/2022 16:40","69","290","2.6"
"ירושלים, מרכז","03/01/2022 16:50","69","287","3.6"
"ירושלים, מרכז","03/01/2022 17:00","72","289","3.9"
"ירושלים, מרכז","03/01/2022 17:10","73","292","2.4"
"ירושלים, מרכז","03/01/2022 17:20","75","289","3.6"
"ירושלים, מרכז","03/01/2022 17:30","78","285","3.6"
"ירושלים, מרכז","03/01/2022 17:40","80","288","3.3"
"ירושלים, מרכז","03/01/2022 17:50","82","290","3.4"
"ירושלים, מרכז","03/01/2022 18:00","83","325","2.7"
"ירושלים, מרכז","03/01/2022 18:10","77","318","3.6"
"ירושלים, מרכז","03/01/2022 18:20","71","319","3.9"
"ירושלים, מרכז","03/01/2022 18:30","71","317","3"
"ירושלים, מרכז","03/01/2022 18:40","72","312","3.3"
"ירושלים, מרכז","03/01/2022 18:50","74","313","3.7"
"ירושלים, מרכז","03/01/2022 19:00","76","310","3.1"
"ירושלים, מרכז","03/01/2022 19:10","77","307","2.9"
"ירושלים, מרכז","03/01/2022 19:20","79","311","2.8"
"ירושלים, מרכז","03/01/2022 19:30","80","306","2.8"
"ירושלים, מרכז","03/01/2022 19:40","81","300","2.6"
"ירושלים, מרכז","03/01/2022 19:50","82","294","3.3"
"ירושלים, מרכז","03/01/2022 20:00","83","296","3.5"
"ירושלים, מרכז","03/01/2022 20:10","84","289","3.9"
"ירושלים, מרכז","03/01/2022 20:20","84","289","4.2"
"ירושלים, מרכז","03/01/2022 20:30","85","288","4.2"
"ירושלים, מרכז","03/01/2022 20:40","86","288","4.1"
"ירושלים, מרכז","03/01/2022 20:50","85","289","4.1"
"ירושלים, מרכז","03/01/2022 21:00","85","284","3.9"
"ירושלים, מרכז","03/01/2022 21:10","84","284","3.8"
"ירושלים, מרכז","03/01/2022 21:20","83","285","3.1"
"ירושלים, מרכז","03/01/2022 21:30","81","292","3.3"
"ירושלים, מרכז","03/01/2022 21:40","79","295","3.2"
"ירושלים, מרכז","03/01/2022 21:50","78","289","3.1"
"ירושלים, מרכז","03/01/2022 22:00","78","286","3.5"
"ירושלים, מרכז","03/01/2022 22:10","77","284","3.3"
"ירושלים, מרכז","03/01/2022 22:20","77","291","3.1"
"ירושלים, מרכז","03/01/2022 22:30","76","291","2.6"
"ירושלים, מרכז","03/01/2022 22:40","74","298","2.4"
"ירושלים, מרכז","03/01/2022 22:50","73","303","2.7"
"ירושלים, מרכז","03/01/2022 23:00","73","304","2.4"
"ירושלים, מרכז","03/01/2022 23:10","72","305","2.7"
"ירושלים, מרכז","03/01/2022 23:20","72","293","2.6"
"ירושלים, מרכז","03/01/2022 23:30","72","294","2.7"
"ירושלים, מרכז","03/01/2022 23:40","72","289","2.7"
"ירושלים, מרכז","03/01/2022 23:50","72","291","2.6"
"ירושלים, מרכז","04/01/2022 00:00","72","285","3.2"
"ירושלים, מרכז","04/01/2022 00:10","73","283","2.7"
"ירושלים, מרכז","04/01/2022 00:20","73","283","2.2"
